x,y
12,18
17,34
29,57
44,97
52,130
69,182
83,221
99,259
110,294
122,326
134,361
151,395
157,432
170,459
182,493
192,515
203,542
209,569
216,588
224,567
234,540
245,516
252,489
260,463
272,441
284,407
291,385
308,345
317,320
328,289
340,260
354,223
369,195
376,159
392,112
407,83
423,47
435,13
424,18
414,48
406,73
392,103
381,138
370,179
354,215
338,253
327,281
304,285
279,287
253,290
223,291
192,294
166,294
131,295
121,295
122,286
137,285
150,286
168,286
180,283
207,282
221,284
237,282
253,281
279,279
300,278
320,277
326,267
337,240
345,216
354,199
358,182
364,162
368,142
374,126
378,111
387,95
395,77
400,64
408,43
410,30
420,10
