x,y
16,590
13,565
13,536
13,509
13,478
13,448
13,418
13,387
14,358
15,330
15,293
19,264
16,229
14,195
12,161
13,129
14,98
14,71
14,40
12,21
23,20
25,36
27,62
21,89
22,110
22,140
20,175
22,224
22,255
22,291
23,331
26,357
28,383
29,411
25,445
25,465
24,500
26,524
28,557
28,581
27,594
45,594
72,593
96,593
117,591
144,589
171,585
212,580
237,578
286,565
305,548
324,521
336,488
336,453
337,427
320,403
293,392
260,385
229,382
189,382
151,380
112,381
83,383
55,385
35,383
22,373
35,367
67,362
99,362
128,360
171,353
207,344
232,327
248,312
270,296
286,269
295,239
302,206
308,170
311,131
310,96
296,64
278,43
236,33
191,27
144,20
95,22
58,24
32,20
