x,y
10,17
9,47
12,84
13,112
15,160
11,193
13,242
15,280
19,313
21,350
22,382
20,432
23,461
19,509
20,538
23,569
23,588
38,583
64,582
96,582
119,580
148,578
182,578
211,578
244,578
270,578
296,578
333,578
355,578
384,578
410,578
428,578
425,565
412,565
388,566
369,569
349,569
325,568
293,565
266,565
232,565
203,566
168,568
122,567
91,566
66,565
49,565
40,560
37,544
40,524
42,505
42,483
41,443
37,416
36,392
36,363
37,339
37,325
54,323
72,322
88,322
106,322
124,321
146,320
169,317
202,315
222,316
242,317
262,317
302,318
320,319
349,320
377,320
401,320
416,319
416,304
409,296
386,298
364,301
318,304
295,304
263,304
225,304
184,304
143,306
102,306
68,306
43,305
39,288
38,267
35,244
34,227
34,199
40,172
35,150
37,125
34,100
36,75
37,47
34,25
52,25
68,28
121,26
140,25
173,25
211,25
248,25
285,24
310,24
355,25
379,26
400,26
414,24
415,9
401,9
374,9
345,9
307,11
258,12
215,14
168,12
101,10
71,10
32,11
17,13
